model,error_type,accuracy,macro_f1
word_tfidf,deletion,0.9122368421052631,0.9120897767555495
word_tfidf,transposition,0.9122368421052631,0.9120987677088703
word_tfidf,keyboard,0.9127631578947368,0.9125497225338983
word_tfidf,duplication,0.9128947368421053,0.9127315131286016
char_tfidf,deletion,0.9168421052631579,0.9166969070643555
char_tfidf,transposition,0.9169736842105263,0.916864147730727
char_tfidf,keyboard,0.9180263157894737,0.9178670083548913
char_tfidf,duplication,0.9197368421052632,0.919588330160336
distilbert,deletion,0.9375,0.9375641083604626
distilbert,transposition,0.935921052631579,0.9360287252039983
distilbert,keyboard,0.9353947368421053,0.9354925203335047
distilbert,duplication,0.9373684210526316,0.9374681212456376
