model,noise_probability,accuracy,macro_f1
word_tfidf,0.0,0.920921052631579,0.9208192049449966
word_tfidf,0.05,0.9190789473684211,0.9189482511304773
word_tfidf,0.1,0.9152631578947369,0.9151367524249292
word_tfidf,0.2,0.9114473684210527,0.91130868954574
word_tfidf,0.3,0.9025,0.9022392433420263
char_tfidf,0.0,0.9205263157894736,0.9203945532847155
char_tfidf,0.05,0.9194736842105263,0.9192989745118187
char_tfidf,0.1,0.9190789473684211,0.9189568922830578
char_tfidf,0.2,0.9176315789473685,0.9174516415124745
char_tfidf,0.3,0.911578947368421,0.9113436847666958
distilbert,0.0,0.9444736842105264,0.9445060278267543
distilbert,0.05,0.9436842105263158,0.9437124605353595
distilbert,0.1,0.9418421052631579,0.9418644733485608
distilbert,0.2,0.9393421052631579,0.9393870783120306
distilbert,0.3,0.9288157894736843,0.9289484584026062
distilbert_augmented,0.0,0.9443421052631579,0.94437375172284
distilbert_augmented,0.05,0.9423684210526316,0.9423936976467506
distilbert_augmented,0.1,0.9422368421052632,0.9422379042801092
distilbert_augmented,0.2,0.9396052631578947,0.9395634234925845
distilbert_augmented,0.3,0.9334210526315789,0.9333549615755505
